duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
2 minutes,81,Berry St at 4th St,50,2nd St at Townsend St,4706,25,3,1991,Male
6 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,4603,52,2,1987,Male
14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,1205,48,1,1990,Male
12 minutes,16,Steuart St at Market St,126,Esprit Park,4409,36,2,1971,Male
5 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,4608,22,2,1980,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,5148,53,2,1987,Female
8 minutes,3,Powell St BART Station (Market St at 4th St),30,San Francisco Caltrain (Townsend St at 4th St),5329,42,1,1996,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,3208,17,2,1978,Female
17 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6,The Embarcadero at Sansome St,817,61,2,1979,Male
11 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),5056,61,3,1983,Female
18 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),2427,50,2,1974,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,5233,41,2,1988,Female
10 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,3451,50,2,1984,Male
9 minutes,22,Howard St at Beale St,30,San Francisco Caltrain (Townsend St at 4th St),4820,33,2,1997,Male
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),3101,27,1,1982,Female
4 minutes,81,Berry St at 4th St,36,Folsom St at 3rd St,4647,38,3,1964,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),1537,52,3,1989,Male
9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,4967,34,3,1990,Female
6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,5556,49,2,1987,Male
8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5230,64,2,1990,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),2436,18,3,1990,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,3484,27,2,1990,Female
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,2516,34,3,1982,Male
22 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,2319,50,2,1972,Male
8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5531,37,2,1994,Female
9 minutes,22,Howard St at Beale St,61,Howard St at 8th St,4629,40,1,1993,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),6,The Embarcadero at Sansome St,4924,36,2,1978,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),26,1st St at Folsom St,137,33,2,1973,Male
6 minutes,16,Steuart St at Market St,66,3rd St at Townsend St,5528,20,3,1988,Male
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),88,11th St at Bryant St,2899,31,3,1984,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,4422,53,2,1983,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,2175,19,2,1988,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,5182,36,3,1986,Male
15 minutes,21,Montgomery St BART Station (Market St at 2nd St),87,Folsom St at 13th St,5136,23,2,1971,Male
6 minutes,3,Powell St BART Station (Market St at 4th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),4957,19,2,1988,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,291,50,2,1991,Male
9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,5440,17,3,1988,Male
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,4706,42,1,1991,Male
16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),135,31,2,1968,Male
